,COIN #,DATE,DENOM.   VARIETY,Description,DESIGN
0,1000,1793,1/2C,,MS
1,1003,1794,1/2C,,MS
2,1009,1795,1/2C,Lettered Edge,MS
3,1015,1795,1/2C,LE Punctuated Date,MS
4,1012,1795,1/2C,PE Punctuated Date,MS
5,1018,1795,1/2C,"Plain Edge, No Pole",MS
6,1030,1796,1/2C,No Pole,MS
7,1027,1796,1/2C,With Pole,MS
8,1042,1797,1/2C,1 Above 1,MS
9,1036,1797,1/2C,Plain Edge,MS
10,35107,1797,1/2C,"Low Head, Plain Edge",MS
11,1033,1797,1/2C,Lettered Edge,MS
12,1039,1797,1/2C,Gripped Edge,MS
13,1051,1800,1/2C,,MS
14,1057,1802/0,1/2C,Reverse of 1802,MS
15,1060,1803,1/2C,,MS
16,1069,1804,1/2C,"Crosslet 4, Stems",MS
17,1075,1804,1/2C,Spiked Chin,MS
18,1066,1804,1/2C,"Plain 4, Stems",MS
19,1072,1804,1/2C,"Crosslet 4, No Stems",MS
20,1063,1804,1/2C,Plain 4 No Stems,MS
21,1081,1805,1/2C,No Stems,MS
22,1087,1805,1/2C,"Small 5, Stems",MS
23,1090,1805,1/2C,"Large 5, Stems",MS
24,1093,1806,1/2C,"Small 6, No Stems",MS
25,1096,1806,1/2C,"Small 6, Stems",MS
26,1099,1806,1/2C,"Large 6, Stems",MS
27,1104,1807,1/2C,,MS
28,1107,1808,1/2C,,MS
29,1110,1808/7,1/2C,,MS
30,1123,1809,1/2C,,MS
31,1129,1809,1/2C,Circle in 0,MS
32,1126,1809/6,1/2C,9 over inverted 9,MS
33,1132,1810,1/2C,,MS
34,1135,1811,1/2C,,MS
35,1138,1811,1/2C,Mickley Restrike,MS
36,1141,1825,1/2C,,MS
37,1144,1826,1/2C,,MS
38,1147,1828,1/2C,13 Stars,MS
39,1570,1813,1C,,MS
40,1576,1814,1C,Plain 4,MS
41,1573,1814,1C,Crosslet 4,MS
42,1591,1816,1C,,MS
43,1594,1817,1C,13 Stars,MS
44,1597,1817,1C,15 Stars,MS
45,1600,1818,1C,,MS
46,1603,1819,1C,Large Date,MS
47,1606,1819,1C,Small Date,MS
48,1612,1819/8,1C,,MS
49,1615,1820,1C,Large Date,MS
50,1618,1820/19,1C,,MS
51,91615,1820,1C,Small Date,MS
52,1621,1821,1C,,MS
53,1624,1822,1C,,MS
54,1627,1823,1C,,MS
55,1630,1823/2,1C,,MS
56,1636,1824,1C,,MS
57,1639,1824/2,1C,,MS
58,1642,1825,1C,,MS
59,1645,1826,1C,,MS
60,1648,1826/5,1C,,MS
61,1651,1827,1C,,MS
62,1654,1828,1C,Large Narrow Date,MS
63,1657,1828,1C,Small Wide Date,MS
64,1663,1829,1C,Large Letters,MS
65,1666,1829,1C,Medium Letters,MS
66,1672,1830,1C,Large Letters,MS
67,1678,1831,1C,Large Letters,MS
68,1681,1831,1C,Medium Letters,MS
69,1687,1832,1C,Large Letters,MS
70,1690,1832,1C,Medium Letters,MS
71,1696,1833,1C,,MS
72,1699,1834,1C,Lg 8 Sm Stars Med Let,MS
73,1702,1834,1C,Lg 8-Lg Stars-Med Let,MS
74,1705,1834,1C,Lg 8-Lg Stars-Lg Let,MS
75,1708,1834,1C,Sm 8 Lg Stars Med Let,MS
76,1714,1835,1C,Head Of 1836,MS
77,1717,1835,1C,"Small 8, Stars",MS
78,1720,1835,1C,"Large 8, Stars",MS
79,1726,1836,1C,,MS
80,2155,1886,1C,Variety 1,MS
81,92155,1886,1C,Variety 2,MS
82,2158,1887,1C,,MS
83,2167,1888,1C,,MS
84,2170,1888/7,1C,,MS
85,2173,1889,1C,,MS
86,2176,1890,1C,,MS
87,2179,1891,1C,,MS
88,2182,1892,1C,,MS
89,2185,1893,1C,,MS
90,2188,1894,1C,,MS
91,92188,1894/1894,1C,Doubled Date,MS
92,2191,1895,1C,,MS
93,2194,1896,1C,,MS
94,2197,1897,1C,,MS
95,2200,1898,1C,,MS
96,2203,1899,1C,,MS
97,2206,1900,1C,,MS
98,2209,1901,1C,,MS
99,2212,1902,1C,,MS
100,2215,1903,1C,,MS
101,2218,1904,1C,,MS
102,2221,1905,1C,,MS
103,2224,1906,1C,,MS
104,2227,1907,1C,,MS
105,2230,1908,1C,,MS
106,2233,1908-S,1C,,MS
107,2236,1909,1C,Indian,MS
108,2239,1909-S,1C,Indian,MS
109,2431,1909,1C,Lincoln,MS
110,2425,1909 VDB,1C,,MS
111,2434,1909-S,1C,Lincoln,MS
112,92434,1909-S/S,1C,S/Horizontal S,MS
113,2428,1909-S VDB,1C,,MS
114,2437,1910,1C,,MS
115,2440,1910-S,1C,,MS
116,2443,1911,1C,,MS
117,2446,1911-D,1C,,MS
118,2449,1911-S,1C,,MS
119,2452,1912,1C,,MS
120,2455,1912-D,1C,,MS
121,2692,1940-S,1C,,MS
122,2695,1941,1C,,MS
123,2698,1941-D,1C,,MS
124,2701,1941-S,1C,,MS
125,2704,1942,1C,,MS
126,2707,1942-D,1C,,MS
127,2710,1942-S,1C,,MS
128,2711,1943,1C,,MS
129,2714,1943-D,1C,,MS
130,2715,1943-D/D,1C,,MS
131,2717,1943-S,1C,,MS
132,2722,1944,1C,,MS
133,2725,1944-D,1C,,MS
134,2728,1944-D/S,1C,,MS
135,2731,1944-S,1C,,MS
136,2734,1945,1C,,MS
137,2737,1945-D,1C,,MS
138,2740,1945-S,1C,,MS
139,2743,1946,1C,,MS
140,2746,1946-D,1C,,MS
141,2749,1946-S,1C,,MS
142,2752,1947,1C,,MS
143,2755,1947-D,1C,,MS
144,2758,1947-S,1C,,MS
145,2761,1948,1C,,MS
146,2764,1948-D,1C,,MS
147,2767,1948-S,1C,,MS
148,2770,1949,1C,,MS
149,2773,1949-D,1C,,MS
150,2776,1949-S,1C,,MS
151,2779,1950,1C,,MS
152,2782,1950-D,1C,,MS
153,2785,1950-S,1C,,MS
154,2788,1951,1C,,MS
155,2791,1951-D,1C,,MS
156,2794,1951-S,1C,,MS
157,2797,1952,1C,,MS
158,2800,1952-D,1C,,MS
159,2803,1952-S,1C,,MS
160,2806,1953,1C,,MS
161,2809,1953-D,1C,,MS
162,3121,1986-D,1C,,MS
163,3065,1987,1C,,MS
164,3080,1987-D,1C,,MS
165,3103,1988,1C,,MS
166,3105,1988-D,1C,,MS
167,3077,1989,1C,,MS
168,3089,1989-D,1C,,MS
169,3083,1990,1C,,MS
170,3086,1990-D,1C,,MS
171,3092,1991,1C,,MS
172,3095,1991-D,1C,,MS
173,3098,1992,1C,,MS
174,3101,1992-D,1C,,MS
175,3107,1993,1C,,MS
176,3109,1993-D,1C,,MS
177,3115,1994,1C,,MS
178,3118,1994-D,1C,,MS
179,3133,1995,1C,,MS
180,3127,1995,1C,Doubled Die Obverse,MS
181,3130,1995-D,1C,,MS
182,3136,1996,1C,,MS
183,3139,1996-D,1C,,MS
184,3145,1997,1C,,MS
185,3142,1997-D,1C,,MS
186,3148,1998,1C,,MS
187,3151,1998-D,1C,,MS
188,3154,1999,1C,,MS
189,3157,1999-D,1C,,MS
190,3160,2000,1C,,MS
191,3163,2000-D,1C,,MS
192,3166,2001,1C,,MS
193,3169,2001-D,1C,,MS
194,3172,2002,1C,,MS
195,3175,2002-D,1C,,MS
196,3178,2003,1C,,MS
197,3181,2003-D,1C,,MS
198,3184,2004,1C,,MS
199,3187,2004-D,1C,,MS
200,149538,2007,1C,,MS
201,149544,2007-D,1C,,MS
202,394899,2008,1C,,MS
203,3682,1863,3CS,,MS
204,3684,1864,3CS,,MS
205,3685,1865,3CS,,MS
206,3686,1866,3CS,,MS
207,3687,1867,3CS,,MS
208,3688,1868,3CS,,MS
209,3689,1869,3CS,,MS
210,3691,1870,3CS,,MS
211,3692,1871,3CS,,MS
212,3693,1872,3CS,,MS
215,3790,1866,5C,Rays,MS
216,3791,1867,5C,Rays,MS
217,3794,1867,5C,No Rays,MS
218,3795,1868,5C,,MS
219,3796,1869,5C,,MS
220,3797,1870,5C,,MS
221,3798,1871,5C,,MS
222,3799,1872,5C,,MS
223,3800,1873,5C,Open 3,MS
224,3801,1873,5C,Closed 3,MS
225,3803,1874,5C,,MS
226,3804,1875,5C,,MS
227,3805,1876,5C,,MS
228,3808,1879,5C,,MS
229,3810,1880,5C,,MS
230,3811,1881,5C,,MS
231,3812,1882,5C,,MS
232,3813,1883,5C,Shield,MS
233,3814,1883/2,5C,Shield,MS
234,3841,1883,5C,No CENTS,MS
235,3844,1883,5C,With CENTS,MS
236,3845,1884,5C,,MS
237,3846,1885,5C,,MS
238,3847,1886,5C,,MS
239,3848,1887,5C,,MS
240,3849,1888,5C,,MS
